Name,cgcloud__Sales_Org_Value__c,cgcloud__Currency__c,cgcloud__Distance_Unit__c,cgcloud__Description_Language_1__c,cgcloud__Language_1__c,cgcloud__Language_2__c,cgcloud__Language_3__c,cgcloud__Language_4__c,cgcloud__Account_Product_List_Type__c,cgcloud__Used_Reference_Date__c,cgcloud__Promotion_Access_Definition_Policy__c,cgcloud__Promotion_Aggregation_Level__c,cgcloud__First_Week_Of_Year__c,cgcloud__First_Day_Of_Week__c,cgcloud__Weight_Unit__c,cgcloud__Volume_Unit__c,cgcloud__Description_Language_2__c,cgcloud__Description_Language_3__c,cgcloud__Description_Language_4__c,cgcloud__Sales_Organization_Cluster__c,cgcloud__Street__c,cgcloud__City__c,cgcloud__Country__c,cgcloud__Zip_Code__c,cgcloud__Phone__c,cgcloud__Email__c,cgcloud__Tax_Jurisdiction_Code__c,cgcloud__Account_Number__c,cgcloud__Bank__c,cgcloud__Bank_Code__c,cgcloud__IBAN__c,cgcloud__BIN__c,cgcloud__SWIFT__c,cgcloud__Enable_Auto_Tactic_Fund_Assignment__c,cgcloud__Enable_Tactic_Condition_Creation__c,cgcloud__Automatic_Promotion_Push__c,cgcloud__Enable_Account_Set_Search_in_TPC__c,cgcloud__Enable_Sub_Account_Search_In_TPC__c,cgcloud__Enable_Acc_Cat_WDS_Profile__c,cgcloud__Enable_Subset_Load_Optimization__c,cgcloud__Postbox__c,cgcloud__No__c,cgcloud__Fax__c,cgcloud__State__c,cgcloud__Legal_Information__c,cgcloud__Available_Trade_Calendar_Color_Schemas__c,cgcloud__Enable_Subperiod_Writeback__c,cgcloud__Enable_Payment_Overwrite__c
US01,US01,USD,miles,Duracell US SRD,en,,,,timedependent,dynamic,Combined_Anchors,Product,3,2,pound,gallon,,,,NA,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,1;2,FALSE,TRUE
IT01,IT01,EUR,km,Duracell Italy SRD,en,,,,timedependent,dynamic,Combined_Anchors,Product,3,2,kg,l,,,,EU,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,1;2,FALSE,TRUE
